PCP,StreamName,StreamType,SourceNode,DestinationNode,Size,Period,Deadline
2,Stream_1,ats,ES_1,ES_16,605,500,19537
7,Stream_2,ats,ES_1,ES_12,914,500,8295
0,Stream_3,ats,ES_2,ES_3,506,1000,5056
3,Stream_4,ats,ES_2,ES_17,780,500,14758
0,Stream_5,ats,ES_3,ES_11,569,500,17130
4,Stream_6,ats,ES_3,ES_14,591,1000,19596
1,Stream_7,ats,ES_4,ES_10,625,500,2210
0,Stream_8,ats,ES_4,ES_15,870,1000,7584
4,Stream_9,ats,ES_5,ES_18,726,2000,15380
5,Stream_10,ats,ES_5,ES_10,931,2000,13809
4,Stream_11,ats,ES_6,ES_9,507,500,2900
2,Stream_12,ats,ES_6,ES_20,534,500,10002
0,Stream_13,ats,ES_7,ES_5,946,1000,14552
3,Stream_14,ats,ES_7,ES_2,926,1000,12669
7,Stream_15,ats,ES_8,ES_4,606,2000,1471
1,Stream_16,ats,ES_8,ES_10,750,500,15960
1,Stream_17,ats,ES_9,ES_2,918,1000,13070
5,Stream_18,ats,ES_9,ES_6,589,2000,9478
7,Stream_19,ats,ES_10,ES_13,681,1000,3429
1,Stream_20,ats,ES_10,ES_2,638,500,2572
2,Stream_21,ats,ES_11,ES_1,561,1000,15619
0,Stream_22,ats,ES_11,ES_20,768,500,11784
7,Stream_23,ats,ES_12,ES_5,810,2000,17215
6,Stream_24,ats,ES_12,ES_15,664,500,6868
5,Stream_25,ats,ES_13,ES_14,908,2000,14677
5,Stream_26,ats,ES_13,ES_8,620,2000,11323
5,Stream_27,ats,ES_14,ES_10,985,500,7842
5,Stream_28,ats,ES_14,ES_12,793,1000,6976
6,Stream_29,ats,ES_15,ES_8,605,500,4906
2,Stream_30,ats,ES_15,ES_17,601,500,5558
7,Stream_31,ats,ES_16,ES_12,526,2000,14600
6,Stream_32,ats,ES_16,ES_5,585,500,16305
1,Stream_33,ats,ES_17,ES_10,886,500,2406
1,Stream_34,ats,ES_17,ES_14,862,500,13463
3,Stream_35,ats,ES_18,ES_19,545,1000,1659
2,Stream_36,ats,ES_18,ES_7,708,2000,15668
6,Stream_37,ats,ES_19,ES_12,771,1000,18333
4,Stream_38,ats,ES_19,ES_20,602,1000,15887
3,Stream_39,ats,ES_20,ES_19,939,500,5234
1,Stream_40,ats,ES_20,ES_3,691,2000,13537
