StreamName,MaxE2E(us),Deadline(us),Path
VLAN_0_Flow_0,22.4,15000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_1,22.4,15000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_2,22.4,15000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_3,22.4,15000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_4,22.4,15000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_5,22.4,15000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_6,22.4,15000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_7,22.4,15000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_8,22.4,15000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_9,22.4,15000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_10,36.02,18000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_11,36.02,18000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_12,36.02,18000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_13,36.02,18000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_14,36.02,18000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_15,36.02,18000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_16,36.02,18000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_17,36.02,18000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_18,36.02,18000,node0_0_1_0:e4:2->sw_0_1:e2:0->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_19,36.02,18000,node0_0_1_1:e5:3->sw_0_1:e2:0->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_20,20.8,20000,node0_0_2_0:e6:2->sw_0_2:e3:1->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_21,20.8,20000,node0_0_2_1:e7:3->sw_0_2:e3:1->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_22,20.8,20000,node0_0_2_0:e6:2->sw_0_2:e3:1->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_23,20.8,20000,node0_0_2_1:e7:3->sw_0_2:e3:1->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_24,20.8,20000,node0_0_2_0:e6:2->sw_0_2:e3:1->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_25,20.8,20000,node0_0_2_1:e7:3->sw_0_2:e3:1->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_26,20.8,20000,node0_0_2_0:e6:2->sw_0_2:e3:1->sw_0_3:e9:1->node0_0_3_1
VLAN_0_Flow_27,20.8,20000,node0_0_2_1:e7:3->sw_0_2:e3:1->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_28,20.8,20000,node0_0_2_0:e6:2->sw_0_2:e3:1->sw_0_3:e8:1->node0_0_3_0
VLAN_0_Flow_29,20.8,20000,node0_0_2_1:e7:3->sw_0_2:e3:1->sw_0_3:e9:1->node0_0_3_1
